epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
45,192.055,0.88036,0.45158,0.00899,0.00044,0.9864,1,0.99271,0.6818,1.09752,0.29875,0.009,8e-05,0.0014192,0.0014192,0.0014192
53,212.378,0.8634,0.40228,0.0092,0.00044,0.98793,0.99805,0.99355,0.70662,1.05767,0.2898,0.00921,0.00032,0.00158816,0.00158816,0.00158816
54,215.444,0.81142,0.3238,0.00885,0.00066,0.98648,1,0.99355,0.68446,1.07135,0.29705,0.00919,0.00026,0.00158024,0.00158024,0.00158024
55,217.958,0.88521,0.36938,0.0091,0.00029,0.98169,0.9878,0.9933,0.68243,1.07622,0.30386,0.00927,4e-05,0.00157232,0.00157232,0.00157232
56,220.452,0.84891,0.40822,0.00848,0.00026,0.97619,0.99981,0.99307,0.69522,1.07547,0.29273,0.00946,9e-05,0.0015644,0.0015644,0.0015644
57,222.964,0.83761,0.39515,0.00873,0.00046,0.97556,1,0.99307,0.6958,1.08881,0.29197,0.00942,0.00025,0.00155648,0.00155648,0.00155648
58,225.607,0.8183,0.38595,0.00921,0.00035,0.97452,1,0.99354,0.6874,1.09679,0.28818,0.00932,0.00018,0.00154856,0.00154856,0.00154856
59,228.129,0.81124,0.426,0.0087,0.00023,0.97382,1,0.9933,0.70009,1.08259,0.28683,0.00952,4e-05,0.00154064,0.00154064,0.00154064
60,230.608,0.80198,0.36292,0.009,0.00013,0.97582,0.9878,0.99255,0.68873,1.07499,0.31081,0.00946,6e-05,0.00153272,0.00153272,0.00153272
61,233.116,0.79896,0.34838,0.00923,0.00013,0.98791,0.99628,0.99319,0.68839,1.0662,0.28933,0.00917,6e-05,0.0015248,0.0015248,0.0015248
62,235.744,0.81161,0.3731,0.00902,0.00012,0.98609,1,0.99319,0.68188,1.03993,0.27829,0.00894,0.0001,0.00151688,0.00151688,0.00151688
63,238.262,0.82659,0.36406,0.00908,0.00021,0.98603,1,0.99343,0.6849,1.04286,0.27508,0.00907,9e-05,0.00150896,0.00150896,0.00150896
64,240.773,0.90558,0.41195,0.00965,0.00021,0.98792,0.99761,0.99355,0.68966,1.03139,0.27121,0.00908,8e-05,0.00150104,0.00150104,0.00150104
65,243.302,0.77638,0.33654,0.00914,0.00016,0.9879,0.99558,0.99404,0.69965,1.05008,0.26939,0.00904,5e-05,0.00149312,0.00149312,0.00149312
